GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
parking-system,com.parkit.parkingsystem.service,FareCalculatorService,5,82,2,9,1,18,2,6,0,2
parking-system,com.parkit.parkingsystem.service,ParkingService,10,267,1,14,4,72,1,14,0,7
parking-system,com.parkit.parkingsystem.service,InteractiveShell,72,0,6,0,28,0,8,0,4,0
parking-system,com.parkit.parkingsystem,App,12,0,0,0,5,0,3,0,3,0
parking-system,com.parkit.parkingsystem.model,ParkingSpot,37,25,8,0,9,10,8,5,4,5
parking-system,com.parkit.parkingsystem.model,Ticket,4,82,2,6,0,22,2,17,0,15
parking-system,com.parkit.parkingsystem.constants,Fare,3,0,0,0,1,0,1,0,1,0
parking-system,com.parkit.parkingsystem.constants,ParkingType,0,24,0,0,0,3,0,1,0,1
parking-system,com.parkit.parkingsystem.constants,DBConstants,3,0,0,0,1,0,1,0,1,0
parking-system,com.parkit.parkingsystem.util,InputReaderUtil,17,41,2,2,6,14,2,4,0,4
parking-system,com.parkit.parkingsystem.dao,TicketDAO,22,307,2,4,6,84,2,8,0,7
parking-system,com.parkit.parkingsystem.dao,ParkingSpotDAO,16,104,2,2,6,30,2,4,0,4
parking-system,com.parkit.parkingsystem.config,DataBaseProdConfig,41,3,2,0,12,1,2,1,1,1
parking-system,com.parkit.parkingsystem.config,DataBaseConfig,42,7,6,0,21,2,6,2,3,2
